original_title,production_companies
Stardust, Vaughn Productions
House of 1000 Corpses,Universal Pictures
The Hundred-Foot Journey, Imagenation Abu Dhabi FZ
Life of Pi, Fox 2000 Pictures
Home,Twentieth Century Fox Film Corporation
Gone Baby Gone,Miramax Films
Babylon A.D.,StudioCanal
Paddington, StudioCanal
Daredevil, Regency Enterprises
Ladder 49, Beacon Communications
Ocean's Thirteen, Jerry Weintraub Productions
Jumping the Broom, TDJ Enterprises / New Dimensions Entertainment
The Day the Earth Stood Still, 3 Arts Entertainment
Paycheck, Davis Entertainment
Alone in the Dark, Infogrames Entertainment
Crimson Peak,Legendary Pictures
Everything is Illuminated, Telegraph Films
Talladega Nights: The Ballad of Ricky Bobby,Columbia Pictures
3:10 to Yuma, Yuma
Evan Almighty, Universal Pictures
The Joneses, Premiere Picture
Room,Element Pictures
Wrong Turn, Stan Winston Studio
Before the Devil Knows You're Dead,Capitol Films
Unbroken, 3 Arts Entertainment
The Internship,Twentieth Century Fox Film Corporation
9, Arc Productions
Gran Torino,Village Roadshow Pictures
Scream 3, Craven-Maddalena Films
The Water Diviner, Seven Group Holdings
Dark Blue, IM Filmproduktion
The Grey, 1984 Private Defense Contractors
Step Up 2: The Streets, Touchstone Pictures
Admission,Focus Features
Seven Pounds, Overbrook Entertainment
Big Trouble,Touchstone Pictures
Ninja Assassin,Studio Babelsberg
"Legally Blonde 2: Red, White & Blonde", Metro-Goldwyn-Mayer (MGM)
30 Days of Night, Dark Horse Entertainment
Letters from Iwo Jima, Malpaso Productions
The Giver, Walden Media
Safe Haven,Temple Hill Productions
Whisper,Universal Pictures
The Counselor, Fox 2000 Pictures
Escape from Planet Earth,Rainmaker Entertainment
Black Hawk Down,Jerry Bruckheimer Films
Austin Powers in Goldmember, Gratitude International
Furry Vengeance, Robert Simonds Productions
The Big Short,Paramount Pictures
Slumdog Millionaire,Celador Films
Love Happens, Stuber Productions
Agora, Nimar Studios
The Scorpion King, Alphaville Films
Shrek,DreamWorks SKG
The Fast and the Furious, Mediastream Film GmbH & Co. Productions KG
Scary Movie, Brad Grey Pictures
The Manchurian Candidate, Clinica Estetico
Crazy Heart, Informant Media
Stolen,Saturn Films
The Whole Nine Yards, Rational Packaging Company
Doom, Babelsberg Film
Trumbo,Groundswell Productions
Nutty Professor II: The Klumps, Universal Pictures
Nanny McPhee and the Big Bang, Studio Canal
Forgetting Sarah Marshall, Apatow Productions
Space Cowboys, Mad Chance
The Bounty Hunter,Columbia Pictures
The School of Rock,Paramount Pictures
X2, Marvel Enterprises
Colombiana, Canal+
The Lord of the Rings: The Return of the King, New Line Cinema
In the Heart of the Sea, K. JAM Media
Country Strong, Sony Pictures Home Entertainment
Rat Race, Alphaville Films
Under the Skin, Creative Scotland
American Gangster, Film Rites
The Wild, Nigel Productions
Insurgent,Summit Entertainment
Transformers: Revenge of the Fallen, Platinum Dunes
Rush, Double Negative
The Omen,Twentieth Century Fox Film Corporation
Cowboys & Aliens, Reliance Entertainment
National Treasure, Junction Entertainment
Shaft,Paramount Pictures
The Good Girl, Flan de Coco Films
Ã†on Flux, MTV Films
A Lot Like Love,Mile High Productions
The Heartbreak Kid, Radar Pictures
Broken City,Regency Enterprises
Enchanted,Walt Disney Pictures
Water for Elephants, Flashpoint Entertainment
Just Go With It,Columbia Pictures
Next, Saturn Films
Walk the Line, Fox 2000 Pictures
Timeline,Paramount Pictures
The Whole Nine Yards, Nine Yards Productions
Water for Elephants,Ingenious Media
We Were Soldiers, Wheelhouse Entertainment
Iron Man 3,Marvel Studios
Nightcrawler,Bold Films
Guess Who, Tall Trees Productions
EuroTrip, Blue Sea Productions
"I, Frankenstein",Lakeshore Entertainment
Along Came a Spider, Phase 1 Productions
Match Point,DreamWorks
Godsend, Blue Productions
Blended, Gulfstream Pictures
Troy,Plan B Entertainment
Taking Lives,Village Roadshow Pictures
Coraline, Laika Entertainment
The Bad Lieutenant: Port of Call - New Orleans, Millennium Films
Black Nativity,Fox Searchlight Pictures
Sherlock Holmes, Internationale Filmproduktion Blackbird Dritte
Kill Bill: Vol. 2, Super Cool ManChu
Brave,Walt Disney Pictures
Scary Movie 2, Wayans Bros. Entertainment
Syriana, Participant Media
The Mummy Returns, Imhotep Productions
Hellboy II: The Golden Army,Universal Pictures
The Rite, Mid Atlantic Films
Mission to Mars,Spyglass Entertainment
Clerks II, View Askew Productions
"Good Night, and Good Luck.", Section Eight Productions
Smart People, Corduroy Films
The Day After Tomorrow, Twentieth Century Fox Film Corporation
The Three Stooges,Wessler Entertainment
Free Birds, Relativity Media
The Little Prince, Zippcast Films
Sweeney Todd: The Demon Barber of Fleet Street, DreamWorks Pictures
Avatar, Lightstorm Entertainment
Evan Almighty, Shady Acres Entertainment
Eastern Promises, Astral Media
Blade II, Imaginary Forces
Valiant,Vanguard Films
The Twilight Saga: Breaking Dawn - Part 2, Temple Hill Entertainment
Resident Evil: Extinction, Davis-Films
Noah, Disruption Entertainment
The Strangers, Vertigo Entertainment
Enemy at the Gates, Mandalay Pictures
Point Break, Alcon Entertainment
Flyboys, Flyboys Films
License to Wed,Village Roadshow Pictures
The Interpreter, Mirage Enterprises
Love Happens, Camp / Thompson Pictures
The Hunger Games: Mockingjay - Part 2, Lionsgate
Remember the Titans, Technical Black
Zoom,Columbia Pictures
Things We Lost in the Fire, Province of British Columbia Production Services Tax Credit
Taxi, EuropaCorp
Deception, Seed Productions
Cats & Dogs, Zide-Perry Productions
The Hangover Part II, Living Films
Speed Racer, Warner Bros.
J. Edgar,Imagine Entertainment
Chloe, The
The Cold Light of Day, Picture Machine
Action Replayy, Blockbuster Movie Entertainers
Cloudy with a Chance of Meatballs,Columbia Pictures
Silent Hill: Revelation 3D, Konami Corporation Ltd.
Toy Story 3,Walt Disney Pictures
Run All Night, Energy Entertainment
Babel, Anonymous Content
Hanging Up,Laurence Mark Productions
Blood Ties, Canal+
The Legend of Bagger Vance,DreamWorks SKG
Non-Stop, TF1 Films Production
Muppets Most Wanted, Disney
Dream House,Cliffjack Motion Pictures
Dracula Untold,Universal Pictures
Seven Psychopaths, CBS Films
Pitch Perfect 2, Gold Circle Films
Get Him to the Greek, Apatow Productions
Curious George,Imagine Entertainment
The Break-Up,Universal Pictures
Angel Eyes,Warner Bros. Pictures
The Help, Participant Productions
The Happening, UTV Motion Pictures
"Yours, Mine & Ours", Columbia Pictures Corporation
Last Vegas, Outlaw Sinema
Baby Boy,Columbia Pictures
2 Guns, Marc Platt Productions
Bewitched, Bewitched
What If,Fastnet Films
Pathfinder, Phoenix Pictures
Lara Croft Tomb Raider: The Cradle of Life, Lawrence Gordon Productions
Bandslam, Walden Media
King Arthur,Jerry Bruckheimer Films
The Guard, Irish Film Board
Selma, Harpo Films
Ghost Rider: Spirit of Vengeance, Marvel Knights
V for Vendetta, DC Comics
Bad Company, Stillking Films
Halloween II, Trancas International Films
Taxi,Twentieth Century Fox Film Corporation
The Road, Chockstone Pictures
Fire with Fire, Grindstone Entertainment Group
The Core, Horsepower Films
New in Town, Gold Circle Films
Ratatouille,Walt Disney Pictures
Shall We Dance?,Miramax Films
The Expendables 3, Nu Image Films
Flight of the Phoenix, Davis Entertainment
A Mighty Heart, Revolution Films
Step Up,Summit Entertainment
Son of God,Hearst Entertainment Productions
Zoolander, Village Roadshow Pictures
Scott Pilgrim vs. the World,Universal Pictures
Ricki and the Flash,Columbia TriStar
Harry Brown, UK Film Council
Jay and Silent Bob Strike Back, View Askew Productions
The Interpreter,Universal Pictures
Cursed, Kalis Productions GmbH & Co. Zweite KG
The Ides of March, Smokehouse Pictures
Maid in Manhattan,Columbia Pictures
Black Swan, Cross Creek Pictures
Carol,Killer Films
Akeelah and the Bee, 2929 Productions
The Terminal, Amblin Entertainment
The Last King of Scotland, DNA Films
Spartan, Art Linson Productions
Transporter 2,Canal Plus
Taken,Twentieth Century Fox Film Corporation
Hannibal,Universal Pictures
A Dangerous Method,Recorded Pictures Company
Taken 2, M6 Films
Conan the Barbarian, Paradox Entertainment
Jupiter Ascending,Village Roadshow Pictures
Seeking Justice,Endgame Entertainment
Secret in Their Eyes, Gran Via Productions
Point Break, DMG Entertainment
The Counselor, Nick Wechsler Productions
Bangkok Dangerous, Blue Star Pictures
Ouija,Universal Pictures
Sanctum, Relativity Media
A Cinderella Story, Dylan Sellers Productions
All Is Lost, Treehouse Pictures
Riding in Cars with Boys,Columbia Pictures
DodgeBall: A True Underdog Story,Twentieth Century Fox Film Corporation
Angel Eyes, Franchise Pictures
War Horse, Reliance Entertainment
While We're Young, A24
National Treasure, Saturn Films
Now You See Me, K/O Paper Products
The Hoax, Yari Film Group
Transformers: Age of Extinction, Hasbro
What Happens in Vegas, Regency Enterprises
Birdman, M Productions
The Butler, Salamander Pictures
The Smurfs, Kerner Entertainment Company
Rio 2, Twentieth Century Fox Animation
Old School,DreamWorks SKG
Elizabeth: The Golden Age, Working Title Films
Chicken Little, Walt Disney Feature Animation
The Adjustment Bureau, Media Rights Capital
Crash, Bull's Eye Entertainment
Jobs,Open Road Films
"I Love You, Man", De Line Pictures
The House Bunny, Happy Madison Productions
Despicable Me 2,Universal Pictures
The Wolf of Wall Street, Sikelia Productions
The Animal,Revolution Studios
Resident Evil: Extinction, Constantin Film Produktion
In Bruges, Twins Financing
Suite FranÃ§aise,Qwerty Films
Just Like Heaven,DreamWorks SKG
Hannibal Rising, Dino De Laurentiis Company
4: Rise of the Silver Surfer, Constantin Film Produktion
The Flintstones in Viva Rock Vegas,Universal Pictures
Godzilla,Toho Company
Adaptation., Propaganda Films
A Good Day to Die Hard, Twentieth Century Fox Film Corporation
Delivery Man, Touchstone Pictures
15 Minutes, Tribeca Productions
Looper, DMG Entertainment
Sucker Punch,Legendary Pictures
FearDotCom, Franchise Pictures
War of the Worlds, Cruise/Wagner Productions
Water for Elephants, Dune Entertainment
TMNT,The Weinstein Company
Stardust, Marv Films
Machine Gun Preacher, Relativity Media
Robots, Twentieth Century Fox Animation
Reign Over Me,Columbia Pictures
The Lincoln Lawyer, Sidney Kimmel Entertainment
Max Keeble's Big Move,Walt Disney Pictures
Trance,Cloud Eight Films
Out of the Furnace, Energy Entertainment
Friday the 13th,New Line Cinema
Space Cowboys,Village Roadshow Pictures
A Serious Man,Mike Zoss Productions
The Manchurian Candidate, Scott Rudin Productions
Annabelle, The Safran Company
The Whole Nine Yards, Warner Bros.
Alone in the Dark,Boll Kino Beteiligungs GmbH & Co. KG
AVP: Alien vs. Predator, Davis Entertainment
Flyboys, Skydance Productions
The Covenant, Inc.
The Monuments Men,Columbia Pictures
Katy Perry: Part of Me, Imagine Entertainment
Gridiron Gang,Columbia Pictures
Edge of Tomorrow, Province of British Columbia Production Services Tax Credit
The Great Gatsby, Warner Bros.
Everest, Cross Creek Pictures
You Again,Oops Doughnuts Productions
Safe, IM Global
Poseidon, Radiant Productions
Divergent, Red Wagon Entertainment
Horrible Bosses,New Line Cinema
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Twentieth Century Fox Film Corporation
Itâ€™s a Boy Girl Thing, Alliance Atlantis Motion Picture Production
The Internship, TSG Entertainment
Diana, Scope Pictures
How the Grinch Stole Christmas, Universal Pictures
Our Brand Is Crisis, Smokehouse Pictures
Project Almanac, MTV Films
2 Guns, Emmett/Furla Films
127 Hours,Fox Searchlight Pictures
Hidalgo,Casey Silver Productions
Ghosts of the Abyss, Walden Media
Frailty, David Kirschner Productions
Knockaround Guys,Lawrence Bender Productions
Oldboy,Vertigo Entertainment
Walk Hard: The Dewey Cox Story,Columbia Pictures Corporation
Collateral, DreamWorks SKG
No Strings Attached, Montecito Picture Company
The Chronicles of Narnia: Prince Caspian, Stillking Films
Savages, Onda Entertainment
The Martian, International Traders
Jonah Hex,Warner Bros.
Veronica Mars,Warner Bros.
Prometheus, Brandywine Productions
Along Came a Spider,Paramount Pictures
Pan, Berlanti Productions
Ant-Man,Marvel Studios
Atlantis: The Lost Empire, Walt Disney Feature Animation
Ã†on Flux,Paramount Pictures
Mirror Mirror, Rat Entertainment
The Road, Dimension Films
The Skeleton Key, ShadowCatcher Entertainment
Dark Shadows, Infinitum Nihil
Fantastic Mr. Fox, American Empirical Pictures
Dumb and Dumber To, Conundrum Entertainment
Nanny McPhee and the Big Bang, Three Strange Angels
Zero Dark Thirty, First Light Production
Alvin and the Chipmunks: The Squeakquel, Bagdasarian Productions
The Whole Ten Yards, Nine Yards Two Productions
Jack and Jill, Broken Road Productions
ParaNorman,Focus Features
Moonrise Kingdom, Indian Paintbrush
Saw III, Evolution Entertainment
Wrath of the Titans, Cott Productions
Step Up All In, Offspring Entertainment
Annie, Overbrook Entertainment
A Perfect Getaway,Davis Entertainment
Meet the Parents,DreamWorks SKG
Carnage, Constantin Film Produktion
Out of the Furnace,Appian Way
Star Trek Into Darkness, Skydance Productions
Daddy's Little Girls, The
Bruce Almighty, Shady Acres Entertainment
Underworld, Underworld Produktions GmbH
I Am Legend, Heyday Films
Jimmy Neutron: Boy Genius, Paramount Animation
Rock the Kasbah, QED International
Jumper,Dune Entertainment
Jupiter Ascending, Dune Entertainment
Unknown, Dark Castle Entertainment
The Lorax, Illumination Entertainment
The Last Airbender, Nickelodeon Movies
The Expendables 3, LionsGate
Lions for Lambs, United Artists
Children of Men, Strike Entertainment
Star Trek: Nemesis,Paramount Pictures
A Dangerous Method, Millbrook Pictures
The Texas Chainsaw Massacre, Next Entertainment
Planes: Fire & Rescue,Walt Disney Pictures
Assault on Precinct 13, Why Not Productions
Monster House, Sony Pictures Animation
Conviction, Omega Entertainment
Bridge of Spies, Marc Platt Productions
Perfume: The Story of a Murderer, VIP Medienfonds 4
Hart's War, David Ladd Films
The Butterfly Effect, FilmEngine
Adventureland, This Is That Productions
Alice in Wonderland,Walt Disney Pictures
The Five-Year Engagement, Apatow Productions
The Queen, Scott Rudin Productions
Mama, De Milo
This Must Be the Place, France 2 CinÃ©ma
Trumbo, Inimitable Pictures
Never Back Down,Summit Entertainment
Carnage, CinÃ©CinÃ©ma
Stormbreaker, Samuelson Productions
"Me, Myself & Irene", Conundrum Entertainment
Doomsday, Moonlighting Films
Point Break, Ehman Productions
The Punisher, VIP 2 Medienfonds
Under the Skin,Scottish Screen
Training Day, Outlaw Productions (I)
Hansel & Gretel: Witch Hunters,Paramount Pictures
The Hobbit: The Battle of the Five Armies,WingNut Films
Planes,Walt Disney Pictures
The Core, David Foster Productions
That's My Boy, Relativity Media
Wanted,Universal Pictures
Unbreakable, Touchstone Pictures
Domino, Davis-Films
Dragonfly, Shady Acres Entertainment
Paranormal Activity 4,Paramount Pictures
The Twilight Saga: Breaking Dawn - Part 1, Zohar International
Ice Age,Twentieth Century Fox Film Corporation
National Treasure: Book of Secrets, Walt Disney
Twisted, Kopelson Entertainment
Dark Water, Pandemonium Productions
Rules of Engagement,Paramount Pictures
Dan in Real Life, Jon Shestack Productions
Outlander,Ascendant Pictures
Possession,Warner Bros. Pictures
National Treasure, Jerry Bruckheimer Films
Capote, Eagle Vision Inc.
Everest, Free State Pictures
Remember the Titans, Run It Up Productions Inc.
My Week with Marilyn,BBC Films
The Secret of Moonacre, Metropolitan Filmexport
Minions,Universal Pictures
Tristan & Isolde, Scott Free Productions
Whisper, Canadian Film or Video Production Tax Credit (CPTC)
Femme Fatale, Quinta Communications
Barbershop 2:  Back in Business,Metro-Goldwyn-Mayer (MGM)
Cosmopolis, Rai Cinema
This Must Be the Place,ARP SÃ©lection
Take Me Home Tonight, Rogue Pictures
300, Hollywood Gang Productions
Eagle Eye, K/O Paper Products
Boogeyman, Senator International
27 Dresses, Dune Entertainment III
License to Wed, Robert Simonds Productions
15 Minutes,New Line Cinema
Johnny English,Universal Pictures
How to Train Your Dragon,DreamWorks Animation
The Master, The Weinstein Company
Yes Man, Heyday films
Ender's Game, Chartoff Productions
State of Play, Andell Entertainment
Virgin Territory, Red Lion Sarl
The Wedding Planner,Columbia Pictures Corporation
Blue Jasmine,Perdido Productions
A Cinderella Story, Warner Bros.
The Curious Case of Benjamin Button,Paramount Pictures
Transformers,Paramount Pictures
Hot Tub Time Machine,United Artists
