Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/2/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/3/20,4/30/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,5/1/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/2/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/3/20,5/30/20,5/31/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,6/1/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/2/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/3/20,6/30/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,7/1/20,7/10/20,7/11/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,2,2,2,2,4,4,0,4,5,0,0,0,0,0,0,5,7,8,9,9,9,9,9,9,9,10,5,10,10,10,11,11,12,13,13,13,13,5,14,5,6,6,6,6,7,14,16,16,25,25,25,25,25,25,25,254,14,254,279,279,279,279,279,759,759,759,759,15,759,759,15,16,16,16,16,16,759,1464,1464,1464,1464,1464,1464,1823,1823,1823,1823,1118,1823,1823,1823,2170,2170,2170,2170,2170,2170,2170,1118,2519,1118,1118,1118,1118,1118,1464,2519,2846,2846,2519,2519,2519,2519,2519,2846,2846,2846
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,10,10,10,18,0,27,27,0,0,0,0,0,0,74,438,491,529,529,570,584,584,627,639,648,98,648,657,662,671,681,684,696,701,709,713,120,719,144,184,253,278,342,410,728,821,832,854,860,876,885,889,904,909,914,736,920,924,937,943,945,951,952,952,955,955,750,956,958,755,763,770,781,795,815,958,974,974,978,980,980,980,1016,1020,1020,1020,960,1035,1036,1046,1051,1051,1056,1059,1062,1074,1075,961,1075,963,966,970,973,973,974,1075,1099,1099,1081,1082,1082,1088,1093,1094,1097,1097
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,8,8,1,12,22,30,40,44,51,65,70,89,111,1,131,135,1,1,1,1,1,2,174,305,318,323,343,373,407,442,493,542,627,184,665,665,873,981,1095,1182,1273,1337,1532,1728,210,1932,214,232,238,254,276,288,2170,4399,4641,4787,4971,5162,5450,5621,5959,6175,6401,2388,6677,7016,7261,7526,7839,8068,8344,8733,8915,9302,2558,9855,10162,2802,2950,3145,3526,3912,4151,10578,13873,14554,15181,15682,16085,16658,17148,17735,18480,19147,10819,19808,20244,20919,21371,22020,22614,23298,24077,24567,25133,11166,25694,11516,11844,12233,12486,12801,13464,26484,31323,31987,27110,27564,28167,28711,29286,29789,30249,30748
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,7,7,7,14,14,14,18,26,35,48,1,67,85,115,136,148,177,201,219,241,259,1,285,329,1,1,3,3,3,3,354,711,760,828,854,908,974,1081,1117,1170,1207,384,1225,1231,1259,1300,1326,1367,1386,1399,1421,1442,430,1465,483,555,570,599,617,663,1494,1642,1664,1674,1694,1723,1740,1762,1792,1817,1839,1506,1858,1898,1921,1941,1978,1999,2014,2039,2077,2129,1511,2164,2226,1518,1526,1539,1572,1586,1622,2315,3364,3538,3701,3895,4057,4157,4299,4482,4664,4820,2391,5005,5106,5196,5311,5445,5595,5758,5906,6080,6209,2492,6334,2611,2790,2915,3025,3152,3239,6454,7777,7975,6625,6787,6932,7046,7124,7244,7406,7572
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,15,0,0,0,0,0,0,0,19,400,598,702,996,1090,1221,1333,1463,1550,1746,25,1914,2118,2385,2621,2863,3084,3369,3755,4015,4284,32,4445,4641,56,87,108,147,176,205,4863,6314,6409,6525,6603,6623,6740,6896,6937,7036,7078,5147,7156,7191,7338,7401,7463,7499,7527,7599,7660,7710,5370,7738,5550,5687,5865,6086,6086,6211,7783,8105,8132,8157,8175,8196,8219,8237,8249,8257,8267,7809,8281,8309,8332,8346,8352,8364,8383,8401,8411,8422,7847,8437,8440,7904,7955,7996,8034,8070,8099,8446,8594,8608,8620,8628,8631,8647,8660,8692,8708,8726,8455,8742,8745,8751,8772,8788,8788,8832,8846,8855,8862,8477,8879,8504,8522,8531,8547,8561,8576,8896,8974,8977,8902,8921,8926,8930,8936,8947,8950,8965
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,6,0,0,0,0,0,0,0,6,18,18,18,19,19,22,22,24,39,48,6,48,52,55,66,84,99,109,131,152,167,12,179,192,15,16,16,16,16,16,210,484,546,599,727,813,910,1019,1069,1180,1266,231,1410,1508,1614,1716,1790,1905,1998,2049,2131,2274,252,2348,277,298,331,371,419,457,2447,3399,3573,3721,4019,4341,4625,5029,5186,5379,5671,2483,6043,6370,6794,7257,7770,7770,8118,8373,9009,9820,2568,10423,11437,2637,2735,2903,2958,3112,3224,12223,18887,19954,21071,22077,23481,24524,25269,26079,26818,27670,12799,28566,29471,31076,32394,33536,34902,36034,36953,38150,39060,13537,40070,14316,15086,16016,16882,17486,18198,41194,53614,54697,42555,43929,45106,46178,47735,48997,50207,51725
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,0,0,0,0,0,0,0,4,19,20,28,31,53,136,236,299,454,501,5,730,776,875,972,1063,1201,1373,1495,1597,1717,5,1938,2118,5,6,6,6,6,16,2421,5011,5230,5496,5837,6383,6919,7025,7638,8348,8418,2686,9565,10076,11155,11940,12723,13328,13915,14612,15525,16817,2818,18114,3157,3766,4035,4263,4489,4695,19103,32081,34336,35298,35788,38799,38799,40151,42125,43966,45898,20084,48091,50694,52437,54601,56349,57705,59151,61227,64028,66457,20941,69496,72460,22049,24073,24644,26435,28736,30334,76398,119536,125933,125933,132405,144478,148921,154760,160118,165062,171666,80463,176617,181088,185034,188926,192970,195745,198883,202955,206512,209337,85264,213470,89249,93983,98943,103671,108317,113702,217809,246351,248872,221896,221896,225283,231818,234509,237489,240848,243599
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,27,36,43,55,69,86,109,0,137,200,313,345,345,443,558,674,786,901,0,989,1181,0,0,0,0,0,0,1181,2752,2974,3234,3400,3472,3574,3751,4016,4210,4273,1317,4467,4658,4821,5166,5338,5538,5779,6021,6021,6378,1475,6532,1673,1801,1988,2100,2249,2528,6720,8448,8616,8783,8944,9118,9268,9449,9606,9726,9867,7090,9977,10116,10267,10577,10926,11183,11447,11728,12131,12531,7090,13018,13463,7197,7523,7731,7868,8070,8282,13837,17889,18586,19211,20059,21418,21422,21962,22597,23351,24274,14095,25222,26030,26752,27314,28030,29037,29905,30658,31686,32785,14609,33550,15044,15463,16004,16425,16854,17233,34463,43257,44332,35237,35995,36983,38149,39334,40291,41251,42216
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,2,2,2,2,2,2,7,7,7,7,1,7,7,8,8,8,8,8,8,8,8,1,8,1,1,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,11,11,11,11,8,11,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,6,6,8,9,11,11,0,13,18,22,22,27,37,41,52,56,59,0,64,65,0,0,0,0,1,1,69,129,133,134,147,159,161,174,199,202,206,77,208,208,213,213,223,228,228,228,239,239,92,266,96,104,113,115,119,124,333,713,724,737,740,754,759,778,786,788,829,370,833,836,838,850,862,865,877,884,900,917,396,964,986,415,431,440,462,563,689,995,1202,1230,1254,1261,1289,1296,1303,1308,1330,1336,1013,1362,1379,1392,1422,1528,1569,1711,1942,2127,2191,1070,2221,1086,1087,1090,1135,1145,1187,2260,2736,2820,2303,2349,2385,2427,2456,2502,2554,2638
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,15,28,38,43,86,117,145,234,0,234,318,363,395,416,480,580,635,671,852,0,950,1065,0,0,1,1,6,7,1323,5897,6848,7519,9784,10303,11475,12491,13489,14420,15628,1414,16325,17837,19250,20914,21648,25331,27517,28699,31190,33931,1595,36976,1746,2281,2561,2954,4342,5256,40459,67307,68822,72059,76306,80604,84495,88541,92273,94933,99483,42534,104020,108769,111698,115754,119959,123979,129751,135905,141779,148285,45928,155671,164476,47372,51189,54817,58526,61847,65015,170039,208823,214788,214788,220749,229736,232992,237156,240908,244388,247925,170039,251338,254936,257447,260810,264689,268602,272364,275989,279419,282365,178914,285213,183198,187400,191758,196515,199696,203736,288477,319646,322710,292004,295599,299080,302718,305703,309278,312911,316448
Philippines,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,33,49,52,64,111,140,142,187,202,217,3,230,307,380,462,552,636,707,803,1075,1418,3,1546,2084,3,3,5,6,10,20,2311,4195,4428,4648,4932,5223,5453,5660,5878,6087,6259,2633,6459,6599,6710,6981,7192,7294,7579,7777,7958,8212,3018,8488,3094,3246,3660,3764,3870,4076,8772,10794,11086,11350,11618,11876,12091,12305,12513,12718,12942,8928,13221,13434,13597,13777,14035,14319,14669,15049,15588,16634,9223,17224,18086,9485,9684,10004,10343,10463,10610,18638,23732,24175,24787,25392,25930,26420,26781,27238,27799,28459,18997,29400,30052,30682,31825,32295,33069,34073,34803,35455,36438,19748,37514,20382,20626,21340,21895,22474,22992,38511,52914,54222,38805,40336,41830,44254,46333,47873,50359,51754
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,49,68,103,119,177,238,251,355,0,425,536,634,749,901,1051,1221,1389,1638,1862,0,2055,2311,1,1,5,5,11,16,2554,5955,6356,6674,6934,7202,7582,7918,8379,8742,9287,2946,9593,9856,10169,10511,10892,11273,11617,11902,12218,12640,3383,12877,3627,4102,4413,4848,5205,5575,13105,15996,16326,16921,17204,17615,18016,18257,18529,18885,19268,13375,19739,20143,20619,20931,21326,21631,22074,22473,22825,23155,13693,23571,23786,14006,14431,14740,15047,15366,15651,24165,27842,28201,28577,29017,29392,29788,30195,30701,31015,31316,24395,31620,31931,32227,32527,32821,33119,33395,33714,33907,34154,24687,34393,25048,25410,25986,26561,27160,27560,34775,37216,37521,35146,35405,35719,35950,36155,36412,36689,36951
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,59,59,112,169,245,331,448,448,785,2,1020,1280,1600,2060,2362,2995,3544,4268,5170,5962,2,6408,7443,5,8,13,20,30,30,8251,15472,15987,16585,16934,17448,18091,18841,19022,19685,20206,9034,20863,21379,21982,22353,22797,23392,23864,24027,24322,24505,9886,25045,10524,11278,11730,12442,13141,13956,25351,27581,27679,27913,28132,28319,28583,28810,29036,29209,29432,25190,29660,29912,30200,30471,30623,30788,31007,31292,31596,31946,25282,32203,32500,25524,25702,26182,26715,27268,27406,32700,35600,35910,36180,36463,36690,37036,37336,37672,38089,38464,32895,38841,39133,39392,39737,40104,40415,40866,41189,41646,41912,33261,42141,33592,33969,34351,34693,34885,35306,42454,45679,46221,42782,43156,43569,43897,44129,44416,44859,45277
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,24,262,262,320,337,401,439,439,452,460,3,470,481,494,501,526,537,549,562,590,634,7,693,781,8,8,8,8,15,18,835,2512,2728,2979,3231,3428,3711,4103,4663,5008,5448,949,6015,6533,7141,7764,8525,9358,10287,11244,11921,12564,1075,13409,1325,1604,1832,2057,2210,2376,14096,22520,23623,25149,26539,28272,29425,30972,32604,33969,35606,14872,37097,38651,40481,42213,43714,45465,47207,48947,50914,52907,15551,55262,56910,16191,17142,17972,18890,20201,21331,58433,73595,75071,76588,78416,79602,80876,82077,83174,84441,85462,60259,86488,87369,88403,89579,90778,91838,92784,93663,94413,95106,62160,96088,63741,65495,67195,68790,70158,71879,97003,102630,103128,97897,98653,99183,99799,100345,100945,101553,102110
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,3,25,45,49,89,123,131,158,184,260,277,3,308,367,433,576,794,906,1029,1292,1452,1815,3,2109,2245,4,6,9,9,15,15,2460,5467,5990,6300,6633,6879,7216,7707,8067,8418,8746,2738,8936,9242,9710,10096,10417,10635,11036,11339,11616,11978,3183,12240,3613,3864,4057,4417,4761,5202,12567,15362,15588,15778,16002,16247,16437,16704,16871,17036,17191,12732,17387,17585,17712,17857,18070,18283,18429,18594,18791,18982,13163,19133,19257,13512,13837,14107,14499,14811,15131,19398,20945,21182,21404,21679,21999,22165,22415,22760,23080,23400,19517,23730,24045,24291,24505,24826,25286,25697,26022,26313,26582,19669,26970,19907,20103,20290,20479,20604,20749,27296,31381,32079,27746,28166,28582,28973,29223,29620,30175,30789
Russia,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20,28,45,59,63,90,114,147,199,3,253,306,367,438,495,658,840,1036,1264,1534,3,1836,2337,3,4,13,13,17,17,2777,11917,13584,15770,18328,21102,24490,27938,32008,36793,42853,3548,47121,52763,57999,62773,68622,74588,80949,87147,93558,99399,4149,106498,4731,5389,6343,7497,8672,10131,114431,209688,221344,232243,242271,252245,262843,272043,281752,290678,299941,124054,308705,317554,326448,335882,344481,353427,362342,370680,379051,387623,134687,396575,405843,145268,155370,165929,177160,187859,198676,414328,493023,501800,510761,519458,528267,536484,544725,552549,560321,568292,423186,576162,583879,591465,598878,606043,613148,619936,626779,633563,640246,431715,646929,440538,449256,458102,467073,476043,484630,653479,712863,719449,660231,666941,673564,680283,686852,693215,699749,706240
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,8,8,0,17,17,19,36,40,41,50,54,60,70,0,70,75,0,0,0,0,0,0,82,118,120,126,127,134,136,138,143,144,147,84,147,150,153,154,176,183,191,207,212,225,89,243,102,104,105,105,110,110,249,284,285,286,287,287,287,289,292,297,308,255,314,320,321,325,327,336,339,346,349,355,259,359,370,261,261,268,271,273,280,377,476,494,510,541,582,612,636,639,646,661,384,702,728,787,798,830,850,858,878,900,1001,397,1025,410,420,431,439,451,463,1042,1252,1299,1063,1081,1092,1105,1113,1172,1194,1210
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,7,8,0,0,0,0,0,0,8,12,12,12,12,14,14,14,14,14,14,9,15,15,15,15,15,15,15,15,15,15,9,15,9,10,10,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,15,15,16,16,16,16,16,16
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,2,2,2,3,3,3,3,3,3,9,0,9,13,0,0,0,0,0,0,13,15,15,15,15,15,15,15,15,15,15,13,15,15,15,15,15,15,15,15,15,17,13,17,14,14,14,14,14,14,17,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,22,22,19,22,22,22,22,22,22,22
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,12,12,12,12,12,12,12,12,12,12,2,12,12,13,13,14,14,14,15,15,16,3,16,7,7,7,8,8,12,16,17,17,17,17,17,17,17,17,17,17,16,18,18,18,18,18,18,18,18,25,26,16,26,26,17,17,17,17,17,17,26,27,27,27,27,27,27,29,29,29,29,26,29,29,29,29,29,29,29,29,29,29,26,29,26,26,26,27,27,27,29,29,29,29,29,29,29,29,29,29,29
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,51,62,69,80,80,101,109,109,119,119,8,144,144,175,187,187,208,208,223,224,224,10,230,236,16,21,21,23,36,36,236,344,356,356,356,371,372,426,435,455,461,245,462,476,488,501,513,513,538,538,553,563,245,569,259,266,266,279,279,333,580,628,628,638,643,648,652,653,654,654,655,580,656,658,661,665,665,666,666,667,670,671,582,671,671,582,589,608,622,623,637,671,691,691,694,694,694,694,694,696,696,696,672,696,696,697,698,698,698,698,698,698,698,674,698,678,680,680,680,687,688,698,699,699,698,698,698,698,698,698,698,699
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,8,8,0,14,0,0,4,4,4,4,16,208,208,208,220,235,235,235,235,246,251,16,251,251,251,251,251,299,441,443,458,463,16,479,483,23,174,174,187,208,208,484,611,632,639,659,661,662,671,683,688,693,484,698,698,702,707,710,711,712,713,713,713,484,714,485,499,499,513,513,514,715,727,727,717,719,719,720,721,724,724,726
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,45,86,103,103,118,171,171,274,1,344,392,511,562,767,900,1012,1104,1203,1299,1,1453,1563,1,5,5,5,11,15,1720,3651,4033,4462,4934,5369,5862,6380,7142,8274,9362,1885,10484,11631,12772,13930,15102,16299,17522,18811,20077,21402,2039,22753,2179,2402,2605,2795,2932,3287,24097,39048,41014,42925,44830,46869,49176,52016,54752,57345,59854,25459,62545,65077,67719,70161,72560,74795,76726,78541,80185,81766,27011,83384,85261,28656,30251,31938,33731,35432,37136,87142,112288,116021,119942,123308,127541,132048,136315,141234,145991,150292,89011,154233,157612,161005,164144,167267,170639,174577,178504,182493,186436,91182,190823,93157,95748,98869,101914,105283,108571,194225,226486,229480,197608,201801,205929,209509,213716,217108,220144,223327
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,10,10,24,24,26,31,31,1,38,47,67,79,86,99,105,119,130,142,2,162,175,4,4,4,4,4,4,190,265,278,280,291,299,314,335,342,350,367,195,377,412,442,479,545,614,671,736,823,882,207,933,219,222,226,237,244,250,1024,1709,1886,1995,2105,2189,2310,2429,2480,2544,2617,1115,2714,2812,2909,2976,3047,3130,3161,3253,3348,3429,1182,3535,3645,1271,1329,1433,1492,1551,1634,3739,4640,4759,4851,4996,5090,5173,5247,5369,5475,5639,3836,5783,5888,5970,6034,6129,6233,6354,6459,6586,6698,3932,6793,4021,4155,4249,4328,4427,4516,6925,7882,8014,7054,7164,7272,7400,7478,7547,7657,7784
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,19,35,46,48,55,65,83,103,0,135,171,222,249,303,384,384,457,659,741,0,785,900,0,0,1,1,1,1,1060,3105,3380,3630,4054,4465,4873,5318,5690,5994,6318,1171,6630,6890,7144,7276,7483,7779,8042,8275,8497,8724,1476,9009,1624,1908,2200,2447,2666,2867,9009,10032,10176,10243,10295,10374,10438,10496,10610,10699,10733,9362,10833,10919,11024,11092,11159,11193,11227,11275,11300,11354,9464,11381,11412,9557,9677,9791,9848,9943,10032,11430,12031,12102,12175,12251,12310,12367,12426,12522,12616,12709,11454,12803,12894,12990,13092,13235,13372,13565,13792,14046,14288,11523,14564,11571,11667,11741,11823,11896,11965,14836,17728,18073,15195,15504,15829,16131,16420,16719,17076,17342
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,6,0,7,7,7,7,7,7,7,7,8,8,0,8,10,0,0,0,0,0,0,10,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,10,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,70,77,11,81,11,11,11,11,11,11,81,100,100,81,81,81,81,81,81,91,94
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8,8,10,10,11,13,15,26,30,35,2,43,50,61,64,82,82,93,93,104,104,2,124,4,6,6,6,7,7,136,307,338,338,387,408,447,462,505,519,534,155,570,585,606,621,707,735,754,782,812,829,166,852,861,178,199,225,231,257,291,865,1062,1085,1103,1132,1169,1176,1225,1249,1272,1298,896,1309,1327,1340,1347,1354,1354,1394,1410,1427,1450,909,1462,914,929,946,969,1001,1025,1498,1613,1618,1518,1524,1533,1542,1547,1572,1584,1598
Singapore,0,1,3,3,4,5,7,7,10,13,16,45,47,50,58,67,72,75,77,81,84,18,84,85,85,89,89,91,93,93,93,102,18,24,28,28,30,33,40,106,160,178,178,200,212,226,243,266,313,345,108,385,432,455,509,558,631,683,732,802,844,110,879,926,110,117,130,138,150,150,1000,2108,2299,2532,2918,3252,3699,4427,5050,5992,6588,1049,8014,9125,10141,11178,12075,12693,13624,14423,14951,15641,1114,16169,1189,1309,1375,1481,1623,1910,17101,23336,23822,24671,25346,26098,26891,27356,28038,28343,28794,17548,29364,29812,30426,31068,31616,31960,32343,32876,33249,33860,18205,34366,34884,18778,19410,20198,20939,21707,22460,35292,38965,39387,39850,40197,40604,40818,40969,41216,41473,41615,35836,41833,42095,42313,42432,42623,42736,42955,43246,43459,43661,36405,43907,36922,37183,37527,37910,38296,38514,44122,45614,45783,44310,44479,44664,44800,44983,45140,45298,45423
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,16,32,44,54,63,72,105,123,0,137,178,185,186,204,216,226,269,292,314,0,336,363,0,0,1,1,3,3,400,715,728,742,769,835,863,977,1049,1089,1161,426,1173,1199,1244,1325,1360,1373,1379,1381,1384,1391,450,1396,471,485,534,581,682,701,1403,1457,1457,1465,1469,1477,1480,1493,1494,1495,1495,1407,1496,1502,1503,1504,1509,1511,1513,1515,1520,1520,1408,1521,1521,1413,1421,1429,1445,1455,1455,1522,1533,1541,1542,1545,1548,1552,1552,1561,1562,1576,1522,1586,1587,1588,1589,1607,1630,1643,1657,1664,1665,1525,1667,1526,1526,1528,1528,1530,1531,1687,1870,1893,1700,1720,1749,1764,1765,1767,1798,1851
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,57,89,141,181,219,253,275,275,286,0,341,383,414,442,480,528,562,632,684,730,0,756,802,0,2,7,7,16,16,841,1160,1188,1205,1212,1220,1248,1268,1304,1317,1330,897,1335,1344,1353,1366,1373,1388,1396,1402,1408,1418,934,1429,977,997,1021,1059,1091,1124,1434,1457,1460,1461,1463,1464,1465,1465,1466,1466,1467,1439,1468,1468,1468,1468,1468,1469,1469,1471,1473,1473,1439,1473,1473,1439,1445,1448,1449,1450,1454,1473,1488,1488,1490,1492,1495,1496,1499,1503,1511,1513,1475,1519,1520,1521,1534,1541,1547,1558,1572,1581,1585,1477,1600,1477,1479,1484,1485,1485,1486,1613,1793,1827,1634,1650,1679,1700,1716,1739,1763,1776
